"Nose.Colour"	"Antennae"	"Freq"
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Red"	"No"	45
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Blue"	"No"	22
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Red"	"Yes"	25
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
"Blue"	"Yes"	28
